1,(单选题)在实际操作中，( )是商业银行在真正需要资金时通常选择的融资方式。 ,<p>A出售流动资产 </p><p>B同业拆入 </p><p>C收回贷款 </p><p>D长期在总资产中保存相当规模的流动性资产</p>,4,B,在实践操作中，商业银行通常选择在真正需要资金的时候借人资金，（本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）而不长期在总资产中保存相当规 模的流动性资产；如果通过出售流动资产换取流动性，则将导致总资产存量下降；收回贷款将严重损 害商业银行的声誉。,0,0
1,(单选题)( )必须向董事会或指定的委员会提供关于重大变化或现行政策例外情况的通告. ,<p>A监事会 </p><p>B高级管理层 </p><p>C股东大会 </p><p>D风险管理部门</p>,4,B,《巴塞尔新资本协议》从公司治理、信用风险控制、内审和外审等三方面角度来阐述银行业的公司治 理和监督。规定了高级管理层的职责，其中包括：向董事会或指定的委员会，提供关于重大变化或现 行政策例外情况的通告。,0,0
1,(单选题)( )承担对市场风险管理实施监控的最终责任，确保商业银行有效地识别、计量、监测和控制各项业务所承 担的各类市场风险。 ,<p>A股东大会 </p><p>B董事会 </p><p>C监事会 </p><p>D高级管理层</p>,4,B,这是董事会的职责。,0,0
1,(单选题)( )负责制定商业银行最高级别的战略规划，并将其作为商业银行未来发展的行动指南。 ,<p>A股东大会和董事会 </p><p>B董事会和监事会 </p><p>C董事会和高级管理层 </p><p>D高级管理层和内部审计人员</p>,4,C,董事会和高级管理层负责制定商业银行最高级别的战规划．并将其作为商业银行未来发展的行动指 南。,0,0
1,(单选题)( )可以为内部审计部门提供最直接的第一手资料和记录。 ,<p>A财务控制部门 </p><p>B法律／合规部门 </p><p>C风险管理部门 </p><p>D外部监督部门</p>,4,C,风险管理部门可以为内部审计部门提供最直接的第一手资料和记录。,0,0
1,(单选题)( )是目前操作风险识别与评估的主要方法。 ,<p>A自我评估法 </p><p>B损失事件数据方法 </p><p>C权重法 </p><p>D标准法</p>,4,A,商业银行通常借助自我评估法和因果分析模型对其操作风险进行识别。其中，自我评估法运用最广 泛、最成熟。,0,0
1,(单选题)( )是深入理解各种风险的成因及变化规律。 ,<p>A识别风险 </p><p>B分析风险 </p><p>C感知风险 </p><p>D制作风险清单</p>,4,B,分析风险是深入理解各种风险的成因及变化规律。,0,0
1,(单选题)( )是指控制、管理商业银行的一种机制或制度安排。 ,<p>A商业银行管理战略 </p><p>B商业银行风险管理 </p><p>C商业银行公司治理 </p><p>D商业银行内部控制</p>,4,C,商业银行公司治理是指控制、管理商业银行的一种机制或制度安排。,0,0
1,(单选题)( )是指商业银行在一定的置信水平下，为了应对未来一定期限内资产的非预期损失而应持有的资本金。 ,<p>A经济资本 </p><p>B会计资本 </p><p>C监管资本 </p><p>D实收资本</p>,4,A,本题考核的是经济资本的定义。,0,0
1,(单选题)( )是最具流动性的资产。 ,<p>A现金 </p><p>B股票 </p><p>C同业借款 </p><p>D贷款</p>,4,A,最具有流动性的资产包括现金及在中央银行的市场操作中可用于抵押的政府债券。,0,0
1,(单选题)( )源于银行资产、负债和表外业务到期期限(就固定利率而言)或重新定价期限(就浮动利率而言)之间存在 的差异。 ,<p>A基准风险 </p><p>B期权性风险 </p><p>C重新定价风险 </p><p>D收益率曲线风险</p>,4,C,这是重新定价风险的定义。,0,0
