1,(单选题)《公司法》规定，以下出资额占公司资本总额为（ ）的公司股东可能不是公司控股股东。 ,<p>A0.51</p><p>B0.5</p><p>C0.6</p><p>D0.4</p>,4,D,控股股东是指以其出资额占有限责任公司资本总额50%以上或者其持有的股份占股份有限责任公司股 本总额50%以上的股东；出资额或者持有股份的比例虽然不足50%，但依其出资额或者持有的股份所 享有的表决权已足以对股东会、股东大会的决议产生重大影响的股东。因此，D项为正确答案。 ,0,0
1,(单选题)《证券业从业人员资格管理办法》属于（ ）层级的规定。 ,<p>A行政法规</p><p>B部门规章</p><p>C自律管理规则</p><p>D法律 </p>,4,B,《证券业从业人员资格管理办法》属于部门规章层级的规定。 ,0,0
1,(单选题)《中华人民共和国证券法》规定，证券交易当事人买卖的证券可以采用的形式为（ ）。 ,<p>A纸面形式</p><p>B口头形式</p><p>C中国证券业协会规定的形式</p><p>D证券交易所规定的形式 </p>,4,A,证券交易当事人买卖的证券可以采用纸面形式或者中国证监会规定的其他形式。 ,0,0
1,(单选题)《中华人民共和国证券法》明文列示的证券公司操纵市场行为是（ ）。 ,<p>A在自己实际控制的账户之间进行证券交易，影响证券交易价格或者证券交易量</p><p>B依法拓宽资金入市渠道，禁止资金违规流入股市</p><p>C证券内幕信息的知情人和非法获取证券内幕信息的人，在内幕信息公开前，不能买卖该公司的证券</p><p>D经客户的委托为客户买卖证券 </p>,4,A,只有A项属于《中华人民共和国证券法》明文列示的证券公司操纵市场行为。 ,0,0
1,(单选题)A是B的全资子公司，A采购一批生产物资，尚未付款。下列说法中，正确的是（ ）。 ,<p>A付款责任由A承担，B承担连带责任</p><p>B付款责任由A独立承担</p><p>C付款责任由B承担，A承担连带责任</p><p>D付款责任由B独立承担</p>,4,B,子公司具有法人资格，能够依法独立承担民事责任。因此，付款责任由A独立承担。 ,0,0
1,(单选题)财务与会计人员应当正确处理财务会计工作与业务发展、客户利益保护与所在单位利益之间的关系，对 存在潜在冲突的情形（ ）。 ,<p>A暂不需要关注</p><p>B应主动向所在机构的管理层说明</p><p>C主动向监管机关报告</p><p>D持续关注 </p>,4,B,《证券业财务与会计人员执业行为规范》第十六条规定，财务与会计人员应当正确处理财务会计工作 与业务发展、客户利益保护与所在单位利益之间的关系，对存在潜在冲突的情形，应主动向所在机构 的管理层说明，并提出合理处理利益冲突的建议。 ,0,0
1,(单选题)持有期货公司5%以上股权的个人股东其个人金融资产不低于人民币（ ）万元。 ,<p>A2500</p><p>B1000</p><p>C2000</p><p>D3000</p>,4,D,《期货公司监督管理办法》第八条规定，持有期货公司5%以上股权的个人股东应当符合本办法第七条 第（三）项至第（七）项规定的条件，且其个人金融资产不低于人民币3000万元。 ,0,0
1,(单选题)单位或者个人认购或者受让证券公司的股权后，其持股比例达到证券公司注册资本的（ ），应当事先告 知证券公司。 ,<p>A0.05</p><p>B0.01</p><p>C0.03</p><p>D0.1</p>,4,A,《证券公司监督管理条例》第十四条规定，任何单位或者个人有下列情形之一的，应当事先告知证券 公司，由证券公司报国务院证券监督管理机构批准：（1）认购或者受让证券公司的股权后，其持股比 例达到证券公司注册资本的5%。（2）以持有证券公司股东的股权或者其他方式，实际控制证券公司5%以上的股权。未经证券监督管理机构批准，任何单位或者个人不得委托他人或者接受他人委托持有 或者管理证券公司的股权。 ,0,0
1,(单选题)对于采取余额包销方式销售的公司债券，其销售期限最长不得超过（ ）。 ,<p>A60日</p><p>B180日</p><p>C360日</p><p>D90日 </p>,4,D,90日 ,0,0
1,(单选题)非公开募集基金应当向合格投资者募集，合格投资者累计不得超过（ ）。 ,<p>A50人</p><p>B200人</p><p>C100人</p><p>D300人 </p>,4,B,非公开募集基金应当向合格投资者募集，合格投资者累计不得超过200人。 ,0,0
