1,(单选题)由（）向深圳证券交易所提交LOF上市交易申请。,<p>A基金注册登记机构</p><p>B基金管理人</p><p>C基金托管人</p><p>D基金销售机构</p>,4,B,LOF完成登记托管手续后，由基金管理人向深圳证券交易所提交上市申请，申请在交易所挂牌上市。,0,0
1,(单选题)基金管理人应当自收到验资报告之日起（）日内，向中国证监会提出备案申请和验资报告，办理基金备案手续。,<p>A5</p><p>B15</p><p>C10</p><p>D20</p>,4,C,基金管理人应当自收到验资报告之日10日内，向中国证监会提交备案申请和验资报告，办理基金备案手续，刊登基金合同生效公告。,0,0
1,(单选题)根据中国证监会的有关规定，基金认购费率将以（）为基础收取。,<p>A净认购金额</p><p>B认购金额</p><p>C认购份额</p><p>D净认购份额</p>,4,A,根据规定，基金认购费率将统一以净认购金额为基础收取。,0,0
1,(单选题)岗位职责主要解决的是不相容职务的分离，在设置岗位时不考虑到（）。,<p>A授权岗位和执行岗位的分离</p><p>B执行岗位和审核岗位的分离</p><p>C授权岗位和审核岗位的分离</p><p>D保管岗位和记账岗位的分离</p>,4,C,岗位职责主要解决的是不相容职务的分离，（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）在设置岗位时必须考虑到授权岗位和执行岗位的分离；执行岗位和审核岗位的分离；保管岗位和记账岗位的分离等,0,0
1,(单选题)在金融市场上，既是重要的交易体，又是监管机构之一的是（）。,<p>A证监会</p><p>B证券公司</p><p>C商业银行</p><p>D中央银行</p>,4,D,中央银行在金融市场上处于一种特殊的地位，既是金融市场中重要的交易主体，又是监管机构之一。参与市场交易是指中央银行作为银行的银行，为金融市场提供资金。同时，为了执行货币政策，中央银行常以公开市场操作的方式参与金融市场交易。此外，中央银行还与其他监管机构一起，代表政府对金融市场上交易者的行为进行监督和管理,0,0
1,(单选题)基金管理公司投资决策业务控制的主要内容不包括（）,"<p>A健全投资决策授权制度,明确界定投资权限,严格遵守投资限制,防止越权决策</p><p>B研究工作应保持独立、客观</p><p>C建立投资风险评估与管理制度,在设定的风险权限额度内进行投资决策</p><p>D建立科学的投资管理业绩评价体系</p>",4,B,基金管理公司投资决策业务控制的5个主要内容，另外还有:投资决策应当严格遵守法律法规的有关规定，符合基金契约所规定的投资目标、投资范围、投资策略、投资组合和投资限制等要求。,0,0
1,(单选题)封闭式基金的发售方式是（）,<p>A网上发售</p><p>B网上比例配售</p><p>C网下金额配售</p><p>D网下比例配售</p>,4,A,封闭式基金份额的发售，由基金管理人负责办理。基金管理人一般会选择证券公司组成承销团代理基金份额的发售。基金管理人应当在基金份额发售的3日前公布招募说明书、基金合同及其他有关文件。在发售方式上，主要有网上发售与网下发售两种方式。,0,0
1,(单选题)（）是以追求长期的资本值为目标的基金类型。,<p>A货币市场基金</p><p>B混合基金</p><p>C股票基金</p><p>D债券基金</p>,4,C,股票基金是以追求长期的资本增值为目标，比较适合长期投资。,0,0
1,(单选题)基金行业自律管理的方式不包括（）。,<p>A通过制定切实可行的工作计划；大力开展基金业宣传活动，树立行业形象，正确引导社会公众对基金市场的认识</p><p>B建立行业教育培训体系，全面提高基金从业人员素质</p><p>C加大研究力度，对关系基金业发展的重点、难点、热点问题进行深入研究，促进基金业的健康发展</p><p>D通过督察长进行定期检查</p>,4,D,考察基金行业自律管理的方式。,0,0
1,(单选题)职业道德修养是一种（）关键在于“自我”的意愿和努力。,<p>A主观行为</p><p>B自律行为</p><p>C自我修养</p><p>D他律</p>,4,B,职业道德修养是一种自律行为，（本题本题出自金考必过，网址：www.jinkaobiguo.com，最好的刷题网站。）关键在于"自我"的意愿和努力,0,0
1,(单选题)开设基金账户对（）证件要求较高。,<p>A境外投资者</p><p>B境内投资者</p><p>C境内外投资者</p><p>D国外投资者</p>,4,A,开设基金账户对境外投资者证件要求较高。,0,0
