1,(单选题)以下不属于个人教育贷款支付管理中的风险的是（）。 ,<p>A未详细记录资金流向和归集保存相关凭证，造成凭证遗失 </p><p>B未通过账户分析、凭证查验或现场调查等方式，核查贷款支付是否符合约定用途 </p><p>C将学费和住宿费的贷款资金全额发放至借款人账户 </p><p>D未按规定的贷款额度、期限、担保方式、结息方式、计息方式、还款方式、利率调整方式和发放方式 等发放贷款</p>,4,D,D选项，属于签约与发放中的风险。,0,0
1,(单选题)个人征信系统是我国社会信用体系的重要基础设施，是在国务院领导下，由（）组织各商业银行建立的 个人信用信息共享平台。 ,<p>A中国银联 </p><p>B中国银监会 </p><p>C中国人民银行 </p><p>D中国银行业协会</p>,4,C,应由中国人民银行组织各商业银行建立的个人信用信息共享平台。 ,0,0
1,(单选题)在个人住房贷款贷前调查中，不属于项目调查风险的是（）。 ,<p>A提供贷款业务的项目未按规定与之签订协议 </p><p>B项目未按规定上报审批 </p><p>C审批未批准的情况下开展业务 </p><p>D借款申请人不具有主体资格</p>,4,D,项目调查中的风险主要包括：①提供贷款业务的项目未按规定上报审批；②审批未批准的情况下开展 业务；③提供贷款业务的项目，根据情况应当落实有关方面承担相应责任的，未按规定与之签订协议 或签订的协议无效。例如，提供购房贷款业务的是期房，未与房地产商签订阶段性担保协议或签订的 协议无效。在住房贷款中，对于非本行签约贷款楼盘的房地产商及其房地产情况未进行调查、审查。,0,0
1,(单选题)个人汽车贷款每笔最多展期（）次。 ,<p>A1</p><p>B2</p><p>C3</p><p>D5</p>,4,A,借款人应按合同约定的计划按时还款，如果确实无法按照计划偿还贷款，可以申请展期。每笔贷款只 可以展期1次。,0,0
1,(单选题)中国人民银行制定的各种利率为（）。 ,<p>A公定利率 </p><p>B固定利率 </p><p>C法定利率 </p><p>D市场利率</p>,4,C,中国人民银行制定的各种利率为法定利率。,0,0
1,(单选题)合同文本复核人员应就复核中发现的问题及时与合同填写人员沟通，并建立复核记录，交由（）签字确 认。 ,<p>A合同复核人员 </p><p>B其他合同复核人员 </p><p>C合同填写人员 </p><p>D其他合同填写人员</p>,4,C,合同填写完毕后，填写人员应及时将有关合同文本交合同复核人员进行复核。同比贷款的合同填写与 合同复核人不得为同一人。合同文本复核人员应就复核中发现的问题及时与合同填写人员沟通，并建 立复核记录，交由合同填写人员签字确认。,0,0
1,(单选题)国家助学贷款风险补偿专项资金由普通高校承担（）。 ,<p>A0.4</p><p>B0.5</p><p>C0.6</p><p>D0.7</p>,4,B,国家助学贷款风险补偿专项资金由普通高校承担50%。,0,0
1,(单选题)下列关于国家助学贷款发放特点的说法中，错误的是（）。 ,<p>A帮助借款人支付在校期间的学费 </p><p>B帮助借款人支付在校期间的日常生活费 </p><p>C由财政部设立“助学贷款专户资金”给予财政贴息 </p><p>D运用金融手段支持教育，资助经济困难学生完成学业</p>,4,C,国家助学贷款是由教育部门设立“助学贷款专户资金”给予财政贴息。,0,0
1,(单选题)区域市场的管理属于职能型营销组织中（）级的职责。 ,<p>A总行 </p><p>B分行 </p><p>C支行 </p><p>D代表处</p>,4,B,我国银行的营销组织职责与银行的总、分行制密不可分，不同级别的银行承担不同职责。【专家点 拨】总行主要职责是管理；分行主要职责是区域市场的管理；支行主要负责实施具体营销。,0,0
1,(单选题)个人汽车贷款资金安全的根本保证是（）。 ,<p>A借款人的还款能力 </p><p>B借款人的还款意愿 </p><p>C借款人的良好信誉 </p><p>D借款人的收入水平</p>,4,A,借款人的还款能力是个人汽车贷款资金安全的根本保证。,0,0
1,(单选题)以下关于国家助学贷款的说法错误的是（）。 ,<p>A实行一次申请、一次审批、单户核算、分次发放的方式 </p><p>B学费和住宿费贷款按学年(期)发放 </p><p>C学费和住宿费、生活费贷款只能采用受托支付方式直接划入借款人所在学校在贷款银行开立的账户 上．再由学校返还借款人 </p><p>D生活费贷款在每年的2月和8月不予发放</p>,4,C,学费和住宿费贷款只能采用受托支付方式直接划入借款人所在学校在贷款银行开立的账户上， 再由学 校返还借款人；但生活费还可采取借款人自主支付的方式，划入借款人在贷款银行开立的活期储蓄账 户。,0,0
1,(单选题)一次还本付息法的特点不包括（）。 ,<p>A利随本清 </p><p>B一般适用于期限在1年以内(含1年)的贷款 </p><p>C一般适用于期限在1年以上的贷款． </p><p>D个人经营类贷款中的流动资金贷款往往采用到期一次还本付息法</p>,4,C,到期一次还本付息法又称期末清偿法，指借款人需在贷款到期日还清贷款本息，利随本清。此种方式 一般适用于期限在1年以内(含1年)的贷款。,0,0
1,(单选题)银行开展个人住房贷款业务中会涉及的合作企业不包括（）。 ,<p>A房地产评估公司 </p><p>B律师事务所 </p><p>C会计事务所 </p><p>D担保公司</p>,4,C,银行开展个人住房贷款业务中会涉及的合作企业有房地产评估机构、担保公司和律师事务所等。不包 括会计事务所。,0,0
