1,(单选题)下列各项中，不属于公司信贷的基本要素的是()。 ,<p>A交易对象 </p><p>B信贷产品 </p><p>C信贷期限 </p><p>D风险控制</p>,4,D,公司信贷的基本要素主要包括交易对象、信贷产品、信贷金额、信贷期限、贷款利率和费率、清偿计 划、担保方式和约束条件等。选项D说法错误。,0,0
1,(单选题)第二重归流是指()。 ,<p>A银行支付信贷资金给使用者 </p><p>B使用者用于购买原料和支付生产费用，投入再生产 </p><p>C信贷资金在完成生产和流通职能以后流回到使用者手中 </p><p>D使用者将贷款本金和利息归还给银行</p>,4,D,信贷资金的运动过程可以归纳为二重支付、二重归流。第一重支付指银行支付信贷资金给使用者；第 二重支付指使用者用于购买原料和支付生产费用，投入再生产。第一重归流指信贷资金在完成生产和 流通职能以后流回到使用者手中；第二重归流指使用者将贷款本金和利息归还给银行。,0,0
1,(单选题)借款人需要将其动产或权利凭证移交银行占有的贷款方式为()。 ,<p>A质押贷款 </p><p>B抵押贷款 </p><p>C信用贷款 </p><p>D留置贷款</p>,4,A,将其动产或权利凭证移交银行占有是质押行为，因此该贷款属于质押贷款。,0,0
1,(单选题)以下()不是贷后管理原则的主要内容。,<p>A监督贷款资金按用途使用 </p><p>B对借款人账户进行监控 </p><p>C强调借款合同的相关约定对贷后管理工作的指导性和约束性 </p><p>D将贷款资金支付给符合合同约定的借款人交易对象</p>,4,D,贷后管理原则的主要内容是：监督贷款资金按用途使用；对借款人账户进行监控；强调借款合同的相 关约定对贷后管理工作的指导性和约束性；明确贷款人按照监管要求进行贷后管理的法律责任。支付 货款是贷款的环节，非贷后管理内容。,0,0
1,(单选题)以下()环节不属于一笔贷款的管理流程。 ,<p>A贷款申请 </p><p>B受理与调查 </p><p>C贷款支付 </p><p>D贷款监控</p>,4,D,贷款流程包括：贷款申请、受理与调查、风险评价、贷款审批、合同签订、贷款发放、贷款支付、贷 后管理和贷款回收与处置。不包括贷款监控。,0,0
1,(单选题)下列关于对目标市场进行市场细分的说法错误的是()。 ,<p>A有利于针对特定目标市场制定相应的营销策略 </p><p>B有利于银行资金安全 </p><p>C有利于在细分市场上占优势 </p><p>D有利于开拓新的市场机会</p>,4,B,市场细分是银行营销战略的重要组成部分，其作用表现在以下几个方面：(1)有利于选择目标市场和制 定营销策略；(2)有利于发掘市场机会，开拓新市场，更好地满足不同客户对金融产品的需要。(3)有利 于集中人力、物力投入目标市场，提高银行的经济效益。本题的最佳答案为B。,0,0
1,(单选题)()是指具有高度相关性的一组银行产品。 ,<p>A产品线 </p><p>B产品组合 </p><p>C产品类型 </p><p>D产品项目</p>,4,A,产品线，是具有高度相关性的一组银行产品，故A选项符合题意。产品组合是指商业银行向客户提供 的全部公司信贷产品的有机组合方式，故B选项不符合题意。产品类型即产品线中各种可能的产品种 类，故C选项不符合题意。产品项目即某个特定的个别银行产品，它是金融产品划分的最小单位，故D 选项不符合题意。,0,0
1,(单选题)()可表明贷款可正式予以受理。 ,<p>A主管领导同意后 </p><p>B银行审查通过后 </p><p>C银行确立贷款意向 </p><p>D银行出具贷款意向书后</p>,4,C,如果确立了贷款意向，则表明贷款可以正式受理。,0,0
1,(单选题)对银行业金融机构开展绿色信贷提出了明确要求的文件是()。 ,<p>A《绿色信贷指引》 </p><p>B《项目融资业务指引》 </p><p>C《商业银行法》 </p><p>D《贷款通则》</p>,4,A,银监会下发的《绿色信贷指引》，对银行业金融机构开展绿色信贷提出了明确要求。,0,0
1,(单选题)在经济周期经过顶峰后，企业出现突如其来的销售增长下滑，这时()。 ,<p>A企业需要增加存货来增加资产持有 </p><p>B即使出现了经济衰退，企业的信用度也不会下滑 </p><p>C离最终的经济停滞甚至经济下滑还有很长一段时间 </p><p>D信贷人员应等到经济出现负增长时才开始应对信贷风险</p>,4,C,A选项在经济周期经过顶峰后，突如其来的销售增长下滑将会导致企业存货上升和价格下降，这时企 业需要降低多余的存货来增加现金流入；B选项即使在经济周期中，经济衰退的幅度较小，不会出现 经济萧条，企业的信用度也会大幅下滑；D选项在经济增长停滞甚至出现负增长的时候，信贷人员才开始重视信贷风险，通常难以挽回信贷损失。,0,0
1,(单选题)2009年，美国的B银行有资产2000万美元，负债5000万美元，均为浮动利率型，后因市场利率上升3个百 分点，导致该银行资产收益增加60万美元(3%*2000)、负债支付增加150万美元(3%*5000)，从而银行利润 减少了90万美元（60-150），此时B银行遭遇的是______，属于______() ,<p>A汇率风险；国别风险 </p><p>B经济风险；区域风险 </p><p>C利率风险；国别风险 </p><p>D清算风险；市场风险</p>,4,C,银行利润的减少由利率上升导致，因而属于利率风险。利率风险属于国别风险。,0,0
