7,(单选题)（ ）对证券公司、证券投资咨词机构从事证券投资顾问业务实行自律管理。,<p>A中国证券业协会</p><p>B中国证监会</p><p>C国务院</p><p>D期货业协会</p>,4,A,中国证券业协会对证券公司、证券投资咨询机构从事证券投资顾问业务实行自律管理。,0,0
7,(单选题)（ ）是对经济的弹性。,<p>A估值杠杆</p><p>B利润杠杆</p><p>C运营杠杆</p><p>D财务杠杆</p>,4,C,三种杠杆：(1)财务杠杆:对利率的弹性;(2)运营杠杆:对经济的弹性;(3)估值杠杆:对剩余流动性的弹性.,0,0
7,(单选题)（ ）是投资者通过投资保存资本或者资金的购买力.,<p>A经常性收益</p><p>B本金保障</p><p>C资本增值</p><p>D财富积累</p>,4,B,本金保障是指投资者通过投资保存资本或者资金的构买力,0,0
7,(单选题)（ ）是指对利率的弹性。,<p>A估值杠杆</p><p>B利润杠杆</p><p>C运营杠杆</p><p>D财务杠杆</p>,4,D,三种杠杆(1)财务杠杆：对利率的弹性;(2)运营杠杆：对经济的弹性;(3)估值杠杆：对剩余流动性的弹性,0,0
7,(单选题)（ ）是指在某个市场买入(或者卖出)某一交割月份的某商品合约的同时，在另一个市场卖出(或者买入)同种 商品相应的合约，以期利用两个市场的价差变动来获利.,<p>A期现套利</p><p>B跨期套利</p><p>C跨商品套利</p><p>D跨市场套利</p>,4,D,跨市场套利是指在某个市场买入(或者卖出)某一交割月份的某商品合约的同时，在另一个市场卖出(或者买 入)同种商品相应的合约，以期利用两个市场的价差变动来获利。,0,0
7,(单选题)（ ）指决策时如果改变对结果的描述改变参照点，会影响人们的偏好选择。,<p>A确定性效应</p><p>B反射效应</p><p>C孤立效应</p><p>D框定效应</p>,4,D,框定效应指决策时如果改变对结果的描述改变参照点，会影响人们的偏好选择.,0,0
7,(单选题)（ ）指投资者想等到信息发布后再进行决策的倾向。,<p>A确定性效应</p><p>B反射效应</p><p>C孤立效应</p><p>D框定效应</p>,4,C,孤立效应指投资者想等到信息发布后再进行决策的倾向。,0,0
7,(单选题)（ ）是指在期货期权远期等市场上同时买入和卖出一笔数量相同、品种相同，但期限不同的合约，以达到套 利或规避风险等目的。,<p>A平仓</p><p>B对冲交易</p><p>C套利交易</p><p>D跨期套利</p>,4,B,对冲交易是指在期货期权远期等市场上同时买入和卖出一笔数量相同、品种相同，但期限不同的合约，以 达到套利或规避风险等目的。,0,0
7,(单选题)常用的资产价值方法包括重置成本法和清算价值法。关于这两项方法的说法正确的是（ ）。,<p>A重置成本法适用于停止经营的企业。</p><p>B清算价法适用于停止经营的企业.</p><p>C重置成本法和清算价法都适用于可以持续经营的企业</p><p>D重置成本法和清算价法都适用于停止经营的企业</p>,4,B,资产价值是根据企业资产负债表的编制原理，利用权益价值=资产价值-负债价值的关系，评估出三个因素 中的两个，计算资产价值的方法.常用方法包括重置成本法和清算价值法，分别适用于可以持续经营的企 业和停止经营的企业.,0,0
7,"(单选题)单因素模型可以用一种证券的收益率和股价指数的收益率的相关关系得出以下模型：rit=Ai+βirrmt+εit,其中Ai 表示（ ）。","<p>A时期内i证券的收益率</p><p>Bt时期内市场指数的收益率</p><p>C是截距，它反映市场收益率为0时,证券i的收益率大小</p><p>D为斜率，代表市场指数的波动对证券收益率的影响程度</p>",4,C,可以用一种证券的收益率和股价指数的收益率的相关关系得出以下模型:rit=Ai+βirrmt+εit该式揭示了证券 收益与指数(一个因索）之间的相互关系。其中rit为时期内i证券的收益率。rmt为t时期内市场指数的收益 率。Ai是截距，它反映市场收益率为0时，证券i的收益率大小。与上市公司本身基本面有关，与市场整体 波动无关。因此Ai值是相对固走的。βi为斜率，代表市场指数的波动对证券收益率的影响程度。εit为t时期 内实际收益率与估算值之间的残差。,0,0
7,(单选题)对于加工型企业，所属的风险敞口类型为（ ）。,<p>A上游闭口、下游敞口型</p><p>B上游敞口、下游闭口型</p><p>C双向敞口类型</p><p>D上游闭口、下游闭口型</p>,4,C,对于加工型企业，所属的风险敞口类型为双向敞口类型.,0,0
